tweet_id,text,author_id,created_at,place_id,like_count,quote_count,reply_count,retweet_count,conversation_id,in_reply_to_user_id
963216877240639489,"Got to the annual Chinese New Year dinner late tonight due to work, but still managed to catch a… https://t.co/luJeuD2tdG",161692054,2018-02-13T01:02:53.000Z,01a9a39529b27f36,0,0,0,0,963216877240639489,N/A
963246143219032065,We had so much fun enjoying all of the Lunar New Year festivities today with our #DisneyIP participants from China ✨ https://t.co/ihUedIzn1e,29586865,2018-02-13T02:59:11.000Z,07d9f31f7e488000,20,0,0,6,963246143219032065,N/A
963245593413017600,Tried to balance on books on chair to hang up Chinese New Year decorations. Still couldn't reach. Played smart and got off before most likely would have fell. #shortpplprobs,721526808257118208,2018-02-13T02:57:00.000Z,1d9a5370a355ab0c,0,0,0,0,963245593413017600,N/A
963243389687918592,Kept seeing Instagram ad for Lunar New Year jewelry. Finally clicked &amp; realized I was mistaken for a crazy rich Asian because I definitely don't have $12k for a cool dragon bracelet.,344497348,2018-02-13T02:48:14.000Z,c3f37afa9efcf94b,2,0,0,0,963243389687918592,N/A
963239442550067200,Happy New Year-Next 🔥 Snippet from my upcoming project dropping Feb 14th 2018 Pimpin Ain’t Eazy… https://t.co/hV1c5aw4Yp,34878640,2018-02-13T02:32:33.000Z,5a110d312052166f,0,0,0,0,963239442550067200,N/A
963239332122374145,Chinese New Year is around the corner! #lunarnewyear #chinesenewyear @ Feast Buffet https://t.co/g8CkivRrD6,562154200,2018-02-13T02:32:07.000Z,a96f188f5de647b5,0,0,0,0,963239332122374145,N/A
963238856756744192,"Happy Lunar New Year, y'all! This is my year - Year of the Dog 🐕. #AgsWin #WinningAgency… https://t.co/6NfnMRtSSg",18802221,2018-02-13T02:30:14.000Z,1c69a67ad480e1b1,0,0,0,0,963238856756744192,N/A
963238000133099520,"Intervention students compare and contrast the celebrations in ""Happy New Year"" and decide which celebration they prefer and why. @OJUSSTARS @EduKarp @NROPierre_Louis @DrCKirton @AlayonSally @Ojus4061 @MDCPSNorth @NROSup @MiamiSup @MDCPSREADING @MDCPS_ELA https://t.co/lMvikPxJmC",925163634531160064,2018-02-13T02:26:49.000Z,07d9edc4cbc88000,4,0,0,0,963238000133099520,N/A
963237261855764480,"Flashback!
Lunar New Year
Year of the Goat
Mott Street, NYC
February 2008

#Film #LunarNewYear… https://t.co/wJHNXH42nr",18590237,2018-02-13T02:23:53.000Z,01a9a39529b27f36,1,0,0,0,963237261855764480,N/A
963237239470919685,Walk through Galleria during lunch. Red for Chinese New Year and valentines #lunchtimewalk… https://t.co/h2SPRUWdgy,19280462,2018-02-13T02:23:48.000Z,1c69a67ad480e1b1,0,0,0,0,963237239470919685,N/A
963234208540954624,"Year of the Dog 
      Chinese NEW YEAR
              FRIDAY February 16 

 @LAubergeLC https://t.co/U4ahx6n6GE",3299672999,2018-02-13T02:11:45.000Z,21b6f72f9fdaeb06,0,0,0,0,963234208540954624,N/A
963233374423969792,Nice Chinese New Year display at Pechanga! It's been almost ten years since I was last here and… https://t.co/Oef9CTRpXf,39782999,2018-02-13T02:08:27.000Z,fbd6d2f5a4e4a15e,0,0,0,0,963233374423969792,N/A
963231723877122048,"China Marketplace // Lunar New Year - Pork soup dumplings with black vinegar and ginger,… https://t.co/tJNRlEH48M",29854960,2018-02-13T02:01:53.000Z,0c2e6999105f8070,0,0,0,0,963231723877122048,N/A
